0;1;2;3;4;5;6;7;8;9;10;
-70.0905;-66.387;-62.6674;-70.3655;-72.0409;-61.7417;-70.1684;-70.1524;-70.6139;-70.3538;-56.732;
-70.0905;324.659;-71.9152;-72.4927;-69.4272;-60.5365;-70.1684;-69.858;-77.3938;-69.908;-55.8271;
-70.0905;507.131;-73.9896;-72.3734;-67.6496;-59.642;-70.1684;-69.6257;-80.0428;-69.5456;-55.7015;
-70.0905;605.029;-74.1853;-72.3306;-66.6652;-58.9939;-70.1684;-69.5367;-81.0155;-69.2523;-55.678;
-70.0905;-69.8801;-48.1403;-43.766;-56.5184;-54.938;-21.9659;-70.5007;-76.4794;-67.2812;-54.3476;
-69.8931;-40.4266;-56.5834;-71.8653;-69.4153;-55.0995;-70.1684;-70.6389;-76.4921;-66.7524;-52.1325;
-69.7976;-69.8801;-39.2234;-40.8269;-54.6962;-53.26;-14.3453;-70.6389;-73.2028;-65.8788;-49.8275;
-69.443;-69.8801;-43.0754;-67.733;-68.6234;-55.6198;-63.7964;-70.6389;-70.777;-67.0107;-45.1394;
-68.3704;357.153;-66.1395;-72.6797;-68.7732;-57.6929;-70.1684;-70.6389;-77.3701;-68.5266;-50.4176;
-68.1287;-69.8801;-24.5096;186.817;-41.5342;-41.8752;479.521;-70.6389;-68.0714;-53.0333;-44.9823;
-70.0905;-69.8801;-16.6579;512.405;-42.5944;-40.8573;1273.32;-68.9706;-58.1891;-51.1002;-38.0609;
-70.0905;1118.79;-48.608;-73.7817;-58.4043;-44.8097;-70.1684;-64.2233;-66.1287;-54.5548;-40.3664;
-70.0905;1493.11;-65.3038;-72.4947;-61.2735;-51.3258;-70.1684;-62.3604;-74.4053;-63.357;-49.3174;
-70.0905;-69.8801;-24.8177;3.94382;-42.8359;-41.6265;92.1728;-65.4579;-66.5029;-52.4609;-44.7851;
-70.0905;-69.8801;-16.8444;1339.04;-43.4444;-40.9885;3157.97;-65.2075;-57.9767;-51.2562;-38.04;
-70.0905;11.6778;-46.2743;-74.3562;-63.6342;-43.5208;-70.1684;-62.988;-66.824;-52.4816;-39.5468;
-70.0905;1096.75;-66.0453;-72.6621;-64.8551;-51.3769;-70.1684;-61.338;-75.3162;-63.3322;-48.9211;
-70.0905;1788.2;-69.6011;-72.1223;-58.7419;-53.9539;-70.1684;-64.1079;-78.0921;-66.0149;-53.1693;
-70.0905;-69.8801;-24.6063;925.643;-41.9036;-41.2236;2100.19;-67.7953;-67.7211;-51.9831;-45.9065;
-70.0905;-69.8801;-16.696;1217.51;-42.7281;-40.8198;2897.46;-68.3933;-58.1228;-51.0344;-38.2554;
-70.0905;1076.6;-46.1352;-74.0828;-56.2713;-42.9337;-70.1684;-65.9618;-64.9625;-51.886;-39.6848;
-70.0905;1374.39;-64.4951;-72.5702;-61.2924;-50.5264;-70.1684;-65.2825;-73.8109;-62.4497;-48.8069;
