Improvement after: 0 steps, with return -0.532370976430708, Elapsed: 0.415799
Improvement after: 35 steps, with return 7.194177958980438, Elapsed: 17.641893
Improvement after: 44 steps, with return 34.16956535262185, Elapsed: 21.742983
Improvement after: 59 steps, with return 54.63514444959111, Elapsed: 29.827077
Improvement after: 60 steps, with return 300.11140225696806, Elapsed: 30.225517
Improvement after: 73 steps, with return 567.7230596240233, Elapsed: 35.437455
Improvement after: 85 steps, with return 725.9970334158305, Elapsed: 40.551649
Improvement after: 88 steps, with return 1979.605467508857, Elapsed: 41.724576
Improvement after: 91 steps, with return 2352.7228906670052, Elapsed: 42.830774
Reevaluate after: 142 steps, with return -655.6595915302033
Reevaluate after: 193 steps, with return 49.58999395914575
Improvement after: 197 steps, with return 2780.0739765612516, Elapsed: 91.33768
Reevaluate after: 248 steps, with return 128.9635371882727
Reevaluate after: 299 steps, with return -104.8793274439945
Reevaluate after: 350 steps, with return -375.2118863773592
Reevaluate after: 401 steps, with return 2198.70302680253
Reevaluate after: 452 steps, with return -1039.8299425572463
Reevaluate after: 503 steps, with return -18.444452483181635
Reevaluate after: 554 steps, with return -23.16138075627972
Improvement after: 576 steps, with return 3049.751244599939, Elapsed: 256.739048
Reevaluate after: 627 steps, with return 1392.0537291577846
Reevaluate after: 678 steps, with return -182.84569372295357
Reevaluate after: 729 steps, with return -715.792407183734
Reevaluate after: 780 steps, with return -5.511946469960227
Reevaluate after: 831 steps, with return 40.463071895926376
Reevaluate after: 882 steps, with return -72.12439845728761
Reevaluate after: 933 steps, with return -706.4017101048602
Reevaluate after: 984 steps, with return 715.12450118947
Reevaluate after: 1035 steps, with return 231.63307975884163
Reevaluate after: 1086 steps, with return -10.25706646661784
Reevaluate after: 1137 steps, with return -269.83320960086974
Reevaluate after: 1188 steps, with return 1017.0165815195318
Reevaluate after: 1239 steps, with return 907.5125364204475
Reevaluate after: 1290 steps, with return 1.5194547560606668
Reevaluate after: 1341 steps, with return -39.709692444798485
Reevaluate after: 1392 steps, with return 153.18069315300718
Reevaluate after: 1443 steps, with return 359.624569867822
Reevaluate after: 1494 steps, with return 195.42168923706194
Reevaluate after: 1545 steps, with return 1.7437873403548079
Reevaluate after: 1596 steps, with return 410.96303332876096
Reevaluate after: 1647 steps, with return -224.15177930019172
Reevaluate after: 1698 steps, with return -61.50300612958288
Reevaluate after: 1749 steps, with return 199.73575360189946
Reevaluate after: 1800 steps, with return -2.092308366106858
Reevaluate after: 1851 steps, with return -31.565072812353986
Reevaluate after: 1902 steps, with return 111.44787224233309
Reevaluate after: 1953 steps, with return 59.81150234684408
Reevaluate after: 2004 steps, with return -424.93237046138745
Reevaluate after: 2055 steps, with return -67.18234004328323
Reevaluate after: 2106 steps, with return -47.179966597060115
Reevaluate after: 2157 steps, with return 212.62771708428167
Reevaluate after: 2208 steps, with return 445.6423249373394
Reevaluate after: 2259 steps, with return 237.79037758622735
Reevaluate after: 2310 steps, with return -80.30907299379933
Reevaluate after: 2361 steps, with return -3182.4222190456944
Reevaluate after: 2412 steps, with return 218.43857255396279
Reevaluate after: 2463 steps, with return 878.9734601973465
Reevaluate after: 2514 steps, with return 102.92932120446923
Reevaluate after: 2565 steps, with return -2700.4838061705477
Reevaluate after: 2616 steps, with return -285.63202072039013
Reevaluate after: 2667 steps, with return 365.53479097350987
Reevaluate after: 2718 steps, with return -131.99466935420725
Reevaluate after: 2769 steps, with return -1012.736620487568
Reevaluate after: 2820 steps, with return -33.11743792167317
Reevaluate after: 2871 steps, with return -1391.459840762347
Reevaluate after: 2922 steps, with return -35.20029119515365
Reevaluate after: 2973 steps, with return 1.4829398353364798
Reevaluate after: 3024 steps, with return 92.65150174075444
Reevaluate after: 3075 steps, with return -128.78739618685316
Reevaluate after: 3126 steps, with return -34.512121781540266
Reevaluate after: 3177 steps, with return 293.4311006949306
Reevaluate after: 3228 steps, with return -188.514530813337
Reevaluate after: 3279 steps, with return -83.03608576432819
Reevaluate after: 3330 steps, with return -31.967026557777046
Reevaluate after: 3381 steps, with return 240.70181683134297
Reevaluate after: 3432 steps, with return -20.657776681189215
Reevaluate after: 3483 steps, with return -8.939636417706442
Reevaluate after: 3534 steps, with return -332.14623846214033
Reevaluate after: 3585 steps, with return -962.3885428057705
Reevaluate after: 3636 steps, with return -17.672103128255532
Reevaluate after: 3687 steps, with return 72.35762443366374
Reevaluate after: 3738 steps, with return -191.41518850031235
Reevaluate after: 3789 steps, with return 706.9980187095128
Reevaluate after: 3840 steps, with return 872.9468992920126
Reevaluate after: 3891 steps, with return 399.3413915645248
Reevaluate after: 3942 steps, with return -78.04147720939304
Reevaluate after: 3993 steps, with return 580.5473361741294
Reevaluate after: 4044 steps, with return -1190.39722229074
Reevaluate after: 4095 steps, with return -14.949893349044174
Reevaluate after: 4146 steps, with return 330.14501899199706
Reevaluate after: 4197 steps, with return -103.14172602807817
Reevaluate after: 4248 steps, with return 1495.4055691660255
Reevaluate after: 4299 steps, with return -72.0547513950364
Reevaluate after: 4350 steps, with return -18.14893235173842
Reevaluate after: 4401 steps, with return 1546.8897000627921
Reevaluate after: 4452 steps, with return -1617.0716151734339
Reevaluate after: 4503 steps, with return 2072.92237696928
Reevaluate after: 4554 steps, with return -1673.1265998868698
Reevaluate after: 4605 steps, with return 27.39567697532912
Reevaluate after: 4656 steps, with return -16.001519540653266
Reevaluate after: 4707 steps, with return 202.01807601407762
Reevaluate after: 4758 steps, with return 2.6675291087989903
Reevaluate after: 4809 steps, with return 12.986921327459322
Reevaluate after: 4860 steps, with return -609.9031966180567
Reevaluate after: 4911 steps, with return -4.503780713330871
Reevaluate after: 4962 steps, with return 281.47758796452416
Reevaluate after: 5013 steps, with return -69.65243041414891
Reevaluate after: 5064 steps, with return -182.986516110056
Reevaluate after: 5115 steps, with return -54.91658446374295
Reevaluate after: 5166 steps, with return -46.40242495790511
Reevaluate after: 5217 steps, with return 367.18427558115854
Reevaluate after: 5268 steps, with return -26.665164323765964
Reevaluate after: 5319 steps, with return 512.0204896256017
Reevaluate after: 5370 steps, with return 303.5570656244514
Reevaluate after: 5421 steps, with return -903.0168221145586
Reevaluate after: 5472 steps, with return -2343.7461452564035
Reevaluate after: 5523 steps, with return -209.61912218010988
Reevaluate after: 5574 steps, with return -844.8809431296828
Reevaluate after: 5625 steps, with return 10.09286187016567
Reevaluate after: 5676 steps, with return -0.7728567523179806
Reevaluate after: 5727 steps, with return -32.895292244931106
Reevaluate after: 5778 steps, with return -458.2228253214469
Reevaluate after: 5829 steps, with return -23.13664554552026
Reevaluate after: 5880 steps, with return -640.2369467014727
Reevaluate after: 5931 steps, with return 198.83368380570545
Reevaluate after: 5982 steps, with return -70.71811878063517
Reevaluate after: 6033 steps, with return 377.08649226240357
Reevaluate after: 6084 steps, with return -30.237008963047213
Reevaluate after: 6135 steps, with return 1062.9789974747719
Reevaluate after: 6186 steps, with return 101.03627771113403
Reevaluate after: 6237 steps, with return -22.235514195991033
Reevaluate after: 6288 steps, with return 1526.7870572607878
Reevaluate after: 6339 steps, with return -435.1483347903139
Reevaluate after: 6390 steps, with return -416.9330929980527
Reevaluate after: 6441 steps, with return -113.15456112389772
Reevaluate after: 6492 steps, with return 165.18077978040566
Reevaluate after: 6543 steps, with return -2081.5243739927355
Reevaluate after: 6594 steps, with return -147.06270866041595
Reevaluate after: 6645 steps, with return 178.3049926617736
Reevaluate after: 6696 steps, with return -14.578129799609973
Reevaluate after: 6747 steps, with return -193.394615193864
Reevaluate after: 6798 steps, with return -26.257474680468466
Reevaluate after: 6849 steps, with return 265.8532877217802
Reevaluate after: 6900 steps, with return -190.60605318764766
Reevaluate after: 6951 steps, with return 49.946851332724364
Reevaluate after: 7002 steps, with return 585.3982675626081
Reevaluate after: 7053 steps, with return 132.00786344790362
Reevaluate after: 7104 steps, with return -49.41843766733383
Reevaluate after: 7155 steps, with return -119.5327612586004
Reevaluate after: 7206 steps, with return -51.97969789344053
Reevaluate after: 7257 steps, with return -16.932517789317906
Reevaluate after: 7308 steps, with return 1089.6558653108
Reevaluate after: 7359 steps, with return -47.08636679980553
Reevaluate after: 7410 steps, with return -77.10002564293683
Reevaluate after: 7461 steps, with return 186.0293387681867
Reevaluate after: 7512 steps, with return -1828.7992827836958
Reevaluate after: 7563 steps, with return -52.50475800104421
Reevaluate after: 7614 steps, with return 136.58085151319432
Reevaluate after: 7665 steps, with return -7.871039427025653
Reevaluate after: 7716 steps, with return 15.98130733461782
Reevaluate after: 7767 steps, with return -63.12577487442225
Reevaluate after: 7818 steps, with return -283.4849111472683
Reevaluate after: 7869 steps, with return 7.0036004068405315
Reevaluate after: 7920 steps, with return -516.9676941720719
Reevaluate after: 7971 steps, with return 243.10515624438636
Reevaluate after: 8022 steps, with return 125.94363411154094
Reevaluate after: 8073 steps, with return -14.014984460651016
Reevaluate after: 8124 steps, with return -55.06404618328439
Reevaluate after: 8175 steps, with return -17.31510959794674
Reevaluate after: 8226 steps, with return 595.2799033873978
Reevaluate after: 8277 steps, with return -40.056584662487765
Reevaluate after: 8328 steps, with return -62.79696160592819
Reevaluate after: 8379 steps, with return -383.036801698276
Reevaluate after: 8430 steps, with return -8.780185192890666
Reevaluate after: 8481 steps, with return 956.7251820560414
Reevaluate after: 8532 steps, with return 156.37394226824074
Reevaluate after: 8583 steps, with return -8.857360880689738
Reevaluate after: 8634 steps, with return 13.612743880390392
Reevaluate after: 8685 steps, with return -21.07176631796749
Reevaluate after: 8736 steps, with return -392.64629745255206
Reevaluate after: 8787 steps, with return 1316.158824224512
Reevaluate after: 8838 steps, with return -57.82266782277232
Reevaluate after: 8889 steps, with return 32.88397356157053
Reevaluate after: 8940 steps, with return -22.90139371532927
Reevaluate after: 8991 steps, with return -725.541770848941
Reevaluate after: 9042 steps, with return -196.75119176435715
Reevaluate after: 9093 steps, with return 1133.2580973777583
Reevaluate after: 9144 steps, with return -614.0153346481827
Reevaluate after: 9195 steps, with return 13.271134316631471
Reevaluate after: 9246 steps, with return 489.93751655619405
Reevaluate after: 9297 steps, with return -525.5457318268296
Reevaluate after: 9348 steps, with return 543.0573913970541
Reevaluate after: 9399 steps, with return -27.684799338872903
Reevaluate after: 9450 steps, with return -361.3631553872319
Reevaluate after: 9501 steps, with return -5946.340950713094
Reevaluate after: 9552 steps, with return 517.2694881865614
Reevaluate after: 9603 steps, with return 27.947422027404258
Improvement after: 9641 steps, with return 2587.1962096357965, Elapsed: 4224.953292
Reevaluate after: 9692 steps, with return -396.11184315660716
Reevaluate after: 9743 steps, with return -4.036244645029168
Reevaluate after: 9794 steps, with return -88.62591619757946
Reevaluate after: 9845 steps, with return 1252.5597961405442
Reevaluate after: 9896 steps, with return 1363.0535679798909
Reevaluate after: 9947 steps, with return 247.47293243922232
Reevaluate after: 9998 steps, with return -897.430370493299
Reevaluate after: 10049 steps, with return -51.77736347294858
Reevaluate after: 10100 steps, with return -429.35973137655003
Reevaluate after: 10151 steps, with return 54.99184063980923
Improvement after: 10193 steps, with return 2835.3173029248596, Elapsed: 4469.408503
Reevaluate after: 10244 steps, with return -591.4069657630886
Reevaluate after: 10295 steps, with return 1181.6621016839122
Reevaluate after: 10346 steps, with return -1978.8715544840434
Reevaluate after: 10397 steps, with return -49.70046029738992
Reevaluate after: 10448 steps, with return 79.67863931641315
Reevaluate after: 10499 steps, with return -63.763057872923284
Reevaluate after: 10550 steps, with return 117.81389103891202
Reevaluate after: 10601 steps, with return -25.85670689163649
Reevaluate after: 10652 steps, with return 231.79263135199267
Reevaluate after: 10703 steps, with return 221.62149892224548
Reevaluate after: 10754 steps, with return 365.0794459160544
Reevaluate after: 10805 steps, with return 578.4679854834377
Reevaluate after: 10856 steps, with return -43.247733686846786
Reevaluate after: 10907 steps, with return -885.5816107837461
Reevaluate after: 10958 steps, with return -1311.6847218476084
Reevaluate after: 11009 steps, with return -1.220670183101671
Reevaluate after: 11060 steps, with return 86.96181677164081
Reevaluate after: 11111 steps, with return 110.90647280374125
Reevaluate after: 11162 steps, with return 328.00251716831474
Reevaluate after: 11213 steps, with return 112.98320569722091
Reevaluate after: 11264 steps, with return -6.794705712788482
Reevaluate after: 11315 steps, with return -421.8650739962259
Reevaluate after: 11366 steps, with return 1100.8510051245098
Reevaluate after: 11417 steps, with return -368.5741151927321
Reevaluate after: 11468 steps, with return 369.7401266581343
Reevaluate after: 11519 steps, with return -22.9704700156988
Reevaluate after: 11570 steps, with return 1149.9248251972872
Reevaluate after: 11621 steps, with return 165.71550827309102
Reevaluate after: 11672 steps, with return -182.5140031199613
Reevaluate after: 11723 steps, with return 752.8358812529344
Reevaluate after: 11774 steps, with return -137.0002262855256
Reevaluate after: 11825 steps, with return -2.0705420825293017
Reevaluate after: 11876 steps, with return 454.0593575151176
Reevaluate after: 11927 steps, with return 1262.7965630309645
Reevaluate after: 11978 steps, with return -26.2200419952988
Reevaluate after: 12029 steps, with return -196.06127209770324
Reevaluate after: 12080 steps, with return 257.4708824769972
Reevaluate after: 12131 steps, with return 825.9368153041733
Reevaluate after: 12182 steps, with return -13.790506028379667
Reevaluate after: 12233 steps, with return 180.57385154569914
Reevaluate after: 12284 steps, with return 762.0289898241668
Reevaluate after: 12335 steps, with return -20.920318170748683
Reevaluate after: 12386 steps, with return -17.685670019999186
Reevaluate after: 12437 steps, with return -983.978624155747
Reevaluate after: 12488 steps, with return 267.5413342987633
Reevaluate after: 12539 steps, with return 373.9485744962192
Reevaluate after: 12590 steps, with return 228.18571227814928
Reevaluate after: 12641 steps, with return -650.3590216260948
Reevaluate after: 12692 steps, with return -47.482747706559465
Reevaluate after: 12743 steps, with return -659.6584620498181
Reevaluate after: 12794 steps, with return 983.670389392009
Reevaluate after: 12845 steps, with return -0.9948132316530716
Reevaluate after: 12896 steps, with return -3.265682353008691
Reevaluate after: 12947 steps, with return 995.0734719874606
Reevaluate after: 12998 steps, with return 685.2910436160047
Reevaluate after: 13049 steps, with return 19.62021672711716
Reevaluate after: 13100 steps, with return -15.702607795947273
Reevaluate after: 13151 steps, with return 67.38961342663963
Reevaluate after: 13202 steps, with return 943.482376980998
Reevaluate after: 13253 steps, with return -2.1009834299116266
Reevaluate after: 13304 steps, with return 170.49401456129462
Reevaluate after: 13355 steps, with return 1116.6134530022084
Reevaluate after: 13406 steps, with return 326.5800681715175
Reevaluate after: 13457 steps, with return -0.5649933015532962
Reevaluate after: 13508 steps, with return 1205.1758305878068
Reevaluate after: 13559 steps, with return 232.71575072596647
Reevaluate after: 13610 steps, with return 315.00362095463913
Reevaluate after: 13661 steps, with return 1873.4640173146022
Reevaluate after: 13712 steps, with return 247.70277650124513
Reevaluate after: 13763 steps, with return -2382.8781925945677
Reevaluate after: 13814 steps, with return 34.8228406794027
Reevaluate after: 13865 steps, with return 42.010559326331574
Reevaluate after: 13916 steps, with return 443.77671554862934
Reevaluate after: 13967 steps, with return 42.7925414352794
Reevaluate after: 14018 steps, with return -46.02769484876673
Reevaluate after: 14069 steps, with return -3643.5407167711687
Reevaluate after: 14120 steps, with return 332.79615349775605
Reevaluate after: 14171 steps, with return -0.5487248532355234
Reevaluate after: 14222 steps, with return 434.69013395612274
Reevaluate after: 14273 steps, with return 1061.2563504409384
Reevaluate after: 14324 steps, with return 1671.0346891230615
Reevaluate after: 14375 steps, with return -5.2319341708868645
Reevaluate after: 14426 steps, with return 189.90966830923546
