Improvement after: 0 steps, with return -10.699375267840464, Elapsed: 0.654617
Improvement after: 2 steps, with return 19.09245553486313, Elapsed: 5.382757
Improvement after: 12 steps, with return 24.307368726488974, Elapsed: 11.928505
Improvement after: 19 steps, with return 26.21071320952325, Elapsed: 17.724436
Improvement after: 26 steps, with return 39.51155720927558, Elapsed: 22.22849
Improvement after: 28 steps, with return 45.6352892570398, Elapsed: 23.381723
Improvement after: 36 steps, with return 47.297317064807785, Elapsed: 28.529762
Reevaluate after: 87 steps, with return 46.728000811428295
Reevaluate after: 138 steps, with return 47.28258153558956
Reevaluate after: 189 steps, with return 47.36189117318424
Reevaluate after: 240 steps, with return 47.0008176008301
Reevaluate after: 291 steps, with return 46.61053494159121
Reevaluate after: 342 steps, with return 46.97758507324627
Reevaluate after: 393 steps, with return 46.788771071949476
Reevaluate after: 444 steps, with return 47.68325731315782
Reevaluate after: 495 steps, with return 47.929869741447945
Reevaluate after: 546 steps, with return 46.85031618649479
Reevaluate after: 597 steps, with return 47.01831703721208
Reevaluate after: 648 steps, with return 46.777241447869024
Reevaluate after: 699 steps, with return 47.538611511506105
Reevaluate after: 750 steps, with return 47.4601341925641
Reevaluate after: 801 steps, with return 46.92182835012221
Reevaluate after: 852 steps, with return 46.57907918998215
Reevaluate after: 903 steps, with return 47.24116220672323
Reevaluate after: 954 steps, with return 47.24946384873999
Reevaluate after: 1005 steps, with return 46.67545240498048
Reevaluate after: 1056 steps, with return 46.591011823729175
Reevaluate after: 1107 steps, with return 46.134696738772526
Reevaluate after: 1158 steps, with return 46.945874525713705
Improvement after: 1185 steps, with return 46.96946854429899, Elapsed: 887.99439
Reevaluate after: 1236 steps, with return 46.921587445722004
Improvement after: 1269 steps, with return 48.024782544262834, Elapsed: 954.427031
Improvement after: 1296 steps, with return 48.213610659755986, Elapsed: 972.22481
Reevaluate after: 1347 steps, with return 47.97341172016771
Improvement after: 1391 steps, with return 48.78951326170527, Elapsed: 1041.654536
Reevaluate after: 1442 steps, with return 48.49994184575911
Improvement after: 1444 steps, with return 51.889559215925736, Elapsed: 1080.257555
Improvement after: 1464 steps, with return 52.258056180467364, Elapsed: 1096.424851
Improvement after: 1476 steps, with return 53.97209423221035, Elapsed: 1104.291594
Reevaluate after: 1527 steps, with return 54.39049390045638
Reevaluate after: 1578 steps, with return 54.39796477414901
Reevaluate after: 1629 steps, with return 53.98436061985525
Reevaluate after: 1680 steps, with return 53.839284239410595
Improvement after: 1710 steps, with return 56.01725818607508, Elapsed: 1277.444019
Reevaluate after: 1761 steps, with return 56.40265280109308
Reevaluate after: 1812 steps, with return 56.602005767154466
Reevaluate after: 1863 steps, with return 55.96966256268875
Reevaluate after: 1914 steps, with return 55.720655932775685
Reevaluate after: 1965 steps, with return 56.138512663275584
Reevaluate after: 2016 steps, with return 55.765518559936844
Reevaluate after: 2067 steps, with return 56.47019385758689
Reevaluate after: 2118 steps, with return 55.887781873398
Reevaluate after: 2169 steps, with return 56.20562316457803
Reevaluate after: 2220 steps, with return 55.22613874012069
Reevaluate after: 2271 steps, with return 55.53388923173551
Reevaluate after: 2322 steps, with return 56.28311250200771
Reevaluate after: 2373 steps, with return 54.70338899199472
Improvement after: 2412 steps, with return 55.612531764344126, Elapsed: 1792.872641
Reevaluate after: 2463 steps, with return 54.12096909032999
Improvement after: 2474 steps, with return 58.65546309728887, Elapsed: 1837.358812
Improvement after: 2518 steps, with return 59.26370333502732, Elapsed: 1869.216135
Reevaluate after: 2569 steps, with return 60.733054301337305
Reevaluate after: 2620 steps, with return 56.76741618958472
Reevaluate after: 2671 steps, with return 57.054400228768046
Improvement after: 2683 steps, with return 60.61992484817891, Elapsed: 1989.336714
Reevaluate after: 2734 steps, with return 61.003345757199
Reevaluate after: 2785 steps, with return 60.39369058744309
Reevaluate after: 2836 steps, with return 60.629317649962275
Reevaluate after: 2887 steps, with return 61.1749134906805
Reevaluate after: 2938 steps, with return 60.80176419654656
Reevaluate after: 2989 steps, with return 60.43223670379557
Reevaluate after: 3040 steps, with return 60.581938509625616
Reevaluate after: 3091 steps, with return 60.42783275513168
Reevaluate after: 3142 steps, with return 60.408269067144126
Improvement after: 3179 steps, with return 62.75042356551826, Elapsed: 2353.031509
Reevaluate after: 3230 steps, with return 63.406787040468814
Reevaluate after: 3281 steps, with return 62.920305436115314
Reevaluate after: 3332 steps, with return 62.6797030916106
Reevaluate after: 3383 steps, with return 62.75712244250094
Reevaluate after: 3434 steps, with return 62.99940616241829
Reevaluate after: 3485 steps, with return 62.80759144181152
Reevaluate after: 3536 steps, with return 63.48674476934572
Reevaluate after: 3587 steps, with return 63.06675164442409
Reevaluate after: 3638 steps, with return 62.592364734445745
Reevaluate after: 3689 steps, with return 62.73901879017095
Reevaluate after: 3740 steps, with return 62.91910419940474
Reevaluate after: 3791 steps, with return 62.90377646035425
Reevaluate after: 3842 steps, with return 62.92446855255523
Reevaluate after: 3893 steps, with return 62.71140126934826
Reevaluate after: 3944 steps, with return 63.22426558695702
Reevaluate after: 3995 steps, with return 62.84303307948784
Reevaluate after: 4046 steps, with return 63.10087849942772
Reevaluate after: 4097 steps, with return 62.94586300467878
Reevaluate after: 4148 steps, with return 62.81253588133423
Reevaluate after: 4199 steps, with return 63.17451274883797
Reevaluate after: 4250 steps, with return 62.99315733108632
Reevaluate after: 4301 steps, with return 63.07944648666535
Reevaluate after: 4352 steps, with return 62.978883063638406
Reevaluate after: 4403 steps, with return 62.66827498028713
Reevaluate after: 4454 steps, with return 62.73910698848806
Reevaluate after: 4505 steps, with return 63.23226995494656
Reevaluate after: 4556 steps, with return 63.38370364525832
Reevaluate after: 4607 steps, with return 62.67525224913553
Reevaluate after: 4658 steps, with return 62.88989962062882
Reevaluate after: 4709 steps, with return 62.877007023478065
Reevaluate after: 4760 steps, with return 62.91800423486124
Reevaluate after: 4811 steps, with return 62.63812876852468
Reevaluate after: 4862 steps, with return 62.567919766544755
Reevaluate after: 4913 steps, with return 63.07827201353236
Reevaluate after: 4964 steps, with return 63.18366737924023
Reevaluate after: 5015 steps, with return 62.825051470694085
Reevaluate after: 5066 steps, with return 63.13386207737295
Reevaluate after: 5117 steps, with return 62.74609519656322
Reevaluate after: 5168 steps, with return 62.854128345833296
Reevaluate after: 5219 steps, with return 62.99634128515011
Reevaluate after: 5270 steps, with return 63.731355881648334
Reevaluate after: 5321 steps, with return 62.49900297812144
Reevaluate after: 5372 steps, with return 62.8584049331194
Reevaluate after: 5423 steps, with return 63.48096485044632
Reevaluate after: 5474 steps, with return 62.34798511089086
Reevaluate after: 5525 steps, with return 63.28102986478264
Reevaluate after: 5576 steps, with return 62.83340754610265
Reevaluate after: 5627 steps, with return 62.82510979249116
Reevaluate after: 5678 steps, with return 62.80518825139384
Reevaluate after: 5729 steps, with return 63.096145855926885
Reevaluate after: 5780 steps, with return 63.44926265062254
Reevaluate after: 5831 steps, with return 63.2174335559201
Reevaluate after: 5882 steps, with return 62.63315176595496
Reevaluate after: 5933 steps, with return 63.029046859685025
Reevaluate after: 5984 steps, with return 62.78427460527246
Reevaluate after: 6035 steps, with return 62.707353303572724
Reevaluate after: 6086 steps, with return 62.74830410721211
Reevaluate after: 6137 steps, with return 63.025490434170976
Reevaluate after: 6188 steps, with return 62.970234647000765
Reevaluate after: 6239 steps, with return 63.19320210322188
Reevaluate after: 6290 steps, with return 62.93332807179494
Reevaluate after: 6341 steps, with return 63.24196719691467
Reevaluate after: 6392 steps, with return 62.874627127080295
Reevaluate after: 6443 steps, with return 62.874036259472305
Reevaluate after: 6494 steps, with return 63.02896836665209
Reevaluate after: 6545 steps, with return 62.71343274810499
Reevaluate after: 6596 steps, with return 62.87380711376498
